url,location,size,description
/propiedades/clasificado/vecltrin-venta-lote-de-864-m-sup2--en-callao-y-mitre-con-15-4-m-54319486.html,Bartolomé Mitre al 1800,864 m² tot.,"Venta Lote de 864m2 en Callao y Mitre con 15, 4m de frente, en Balvanera. • Terreno de 864m2 ubicado a 50m de Av. Callao. • Orientación norte, la mejor orientación. • Terreno de 15, 4m de Frente x 57, 10m de Fondo. • Frente de más de 15m sobre Bartolomé Mitre. • Muy Buena ubicación. • A solo 150m de la Plaza del Congreso. • A 1 cuadra de la línea A de subte. • A 3 cuadras de la Av. Corrientes. • Cercano a Universidades, Colegios, Teatros y Supermercados. • Zonificación: U. S. A. A. Hasta 22, 80m de altura. Unidad de Sustentab. De Altura Alta. • Permite 9 Pisos (pb + 7 pisos + 2 retiros) más Cocheras. • Superficie Vendible Estimada= 3212m2 y 30 Cocheras. En el tour virtual se puede recorrer todo el predio. Si tenés una propiedad para Vender o Alquilar, no dudes en consultarme! Te ayudamos en todo el proceso de Venta. Tu propiedad estará publicada profesionalmente al igual que el aviso que estás viendo en este momento. Hacemos Tour Virtual, un Plano Comercial con las medidas de los ambientes, Fotografías Profesionales y un Video del inmueble, todo esto sumado a una importante inversión en publicidad en los principales portales para lograr mejorar los tiempos de venta. Las medidas, monto de expensas y abl son aproximadas, y al solo efecto orientativo. Las medidas reales surgirán del título de propiedad respectivo. La venta de este inmueble está sujeta a la tramitación del Código de Transferencia de Inmuebles (coti), de conformidad con la normativa vigente (Res. Afip 2371/08, 2439/08 y ccs. ) por parte del propietario. En cumplimiento a la ley 5115, se informa que el inmueble es accesible para personas con movilidad reducida o discapacidad física. Corredor interviniente: Milagros Sarachaga cucicba 7799 Paolo Menghi cucicba 9171 cmcpdjlm 1005La tasación, intermediación y la conclusión de las operaciones sobre esta propiedad son actividades exclusivas de este corredor matriculado, conforme las previsiones de la ley 20. 266, la ley caba 2340, la ley provincial 10. 973 y sus modif. Y las normas reglamentarias dictadas por los colegios departamentales."
/propiedades/clasificado/vecltrin-lote.-carabobo-avda.-al-600-52076596.html,"CARABOBO, AVDA. 600",345 m² tot.,"Venta lote | parque chacabuco. características generales. - frente: 9, 95 m. - - fondo: 34, 67 m. - - sup. : 345 m² nuevo código urbano. - zonificación: U. S. A. M. (unidad de sustentabilidad de altura media) - altura máxima: 17, 2 m. - (pb + 5 plantas + 2 retiros) - sup. De volumetria: 1724 m² la ley de plusvalía aplica sobre esta propiedad Y se ha tenido en cuenta para obtener el valor. ________________________________________________________________________________________________________________________________________. lepore propiedades lepore Propiedades S. A. Cuit: Ver datos-9 C. U. C. I. C. B. A. Matrícula Nº 931 (Sucursales Caballito - Palermo - Centro) aviso legal: Las descripciones arquitectónicas y funcionales, valores de expensas y/o gastos comunes, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de las facturas, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas con carácter previo a la realización de cualquier operación, requiriendo por sí o sus profesionales de confianza las copias necesarias de la documentación que corresponda. En caso de venta, la misma quedará supeditada al cumplimiento por parte del propietario de los requisitos de la resolución general Nº 2371 de la afip (pedido de coti). xintel(lep-lep-Ver datos)"
/propiedades/clasificado/vecltrin-terreno-en-venta-125-m-sup2--monserrat-54603589.html,San José e/ Independencia y Chile,445 m² tot.,"_ Terreno en venta ubicado sobre calle San José entre Independencia y Chile (Monserrat, Ciudad Autónoma de Buenos Aires). Con disposición frente y orientación al noroeste. _ De medidas regulares, cuenta con 8, 05mts de frente por 15, 26mts de fondo, contabilizando una superficie total aproximada de 125mts2, sobre los cuales se encuentran 445mts2 construidos constituyendo un edificio de tres plantas a demoler. _ Acceso por calle de asfalto con todos los servicios disponibles en la zona. _ Datos de la parcelaDistrito cpu: R2a ifot: 3, 34Superficie de la parcela: 125. 8m²Incidencia uva: 350Alícuota: 0, 27Simulador de ddhusa1= (a*0. 8) | 0 * 0. 8 = 0A2= fot * Sup Parcela | 3, 34 * 125, 8 = 420, 17A= A1-A2 | 0 - 420, 17 = -420, 17B= Alícuota * Incidencia uva | 0, 27 * 350 = 94, 5A * B | -420, 17 * 94, 5 = 0 Yacoub | Construimos ConfianzaInnovación | Calidad | Sustentabilidad | Diseño70 Mil Metros Cuadrados | 18 Torres La información descripta en el presente aviso es meramente orientativa y no forma parte de ningún tipo de documentación contractual. Los datos enunciados fueron proporcionados por los propietarios y pueden arrojar inexactitudes, las superficies definitivas surgirán del título de propiedad del inmueble referido. Se deja constancia de que los valores y/o expensas pueden estar sujetas a verificación o ajuste. Lo que estás buscando lo tenemos | Estés Donde EstésVendemos en Todos Lados"
/propiedades/clasificado/vecltrin-terreno-en-esquina.-belgrano-53995254.html,Ciudad de la Paz Esq. Blanco Encalada,483 m² tot.,Excelente lote en Belgrano. Ciudad de la Paz esq. Blanco Encalada. Superficie total: 483 m2 Apto 5. 000 m2 vendibles. (11 Pisos) Frente por Ciudad de la Paz: 26 mtsFrente por Blanco Encalada: 10 mts-Martillero y Corredor Inmobiliario: Ciudad Autónoma de Buenos AiresProvincia de Buenos AiresMarcelo Nieves Piazza (Matricula cucicba N° 1364 / cmcpsi N° 5348) Todas las propiedades son tasadas y bajo normas establecidas en la ley publicamos las propiedades para su comercialización. La intermediación y la conclusión de las operaciones son actividades exclusivas del matriculado.
/propiedades/clasificado/vecltrin-excelente-terreno-en-chacarita-lideres-en-terrenos-53563221.html,Santos Dumont al 4700,161 m² tot.,"Excelente Lote en Venta Superficie Total 161. 12m2. Frente 8. 66m, Contrafrente 8. 66m, Lateral derecho 18. 66m, Lateral Izquierdo 18. 55m. codigo nuevo: Superficie Edificable: 985. 20m2Superficie Vendible: 724. 84m2 (650. 20m2 Cubiertos + 74. 64m2 Descubiertos) Zonificación: usamaltura: 17. 20mAncho de calle: 17. 32mPisos: pb + 5 pisos + 2 retirosmixtura de usos: mixtura 3aph: desestimadolfi: 18. 37mplusvalia: Ver datos Uva&#39;s (sup edif. X 80% - m2 fot) codigo anterior: Zonificación: E2fot: 2Sup Vendible: 322. 24m2**Corredor Inmobiliario Responsable Adrian Ridelnik cucicba Mat 197. *Se deja constancia que las medidas y superficies indicados son aproximados y al sólo efecto orientativo. Las medidas reales surgirán del título de propiedad respectivo. Las medidas parciales y/o de los ambientes y el valor consignado de expensas mensuales, servicios y abl está sujeto a verificación y/o ajuste. Art. 4 de la Ley 5. 859 de C. A. B. A &quot;Para los casos de alquiler de vivienda única, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4, 15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias cuando el destino sea vivienda única y permanente &quot;. -"
/propiedades/clasificado/vecltrin-lote-oportunidad-desarrollo-en-villa-urquiza-54096170.html,Av. Congreso al 4400,234 m² tot.,"Excelente! Lote de 188 m2Frente 8. 66 x 21. 71Factibilidad Edilicia: unidad de edificabilidad segun codigo urbanisticou. S. A. A. Unidades de Sustentabilidad de Altura AltaSon las áreas de la Ciudad de menor altura que los corredores, con alturas adecuadas a los espacios públicos de calles y avenidas barriales. Altura Máxima 22. 8 metros ( ver mas en Art. 6. 2. 3) La altura podrá variar si existe algún edificio lindero. Catalogado ( articulo 3. 6 Anexo ii) o la altura del edificio lindero es mayor a la de la Unidad de Edificabilidad (Articulo 6. 5. 5) resultado de la factibilidadresultan aproximadamente 1000 mts. Cuadrados cubiertos vendibles con cocherasEn pb libre + 7 pisos + 2 retirosAltura permitida: 28. 20 mts de altura + 2 retirospb: 2. 80 mts de altura + 7 pisos de 2. 80 mts de altura + un retiro a 2 mts de L. O. + 2do retiro a 2 mts de L. O. Y 4 mts de la L. F. I. plusvalia ( a cargo del comprador) uvas: 243. 188. -plusvalia: A cargo del comprador- división lotes - Nota: La información gráfica y escrita contenida en el presente aviso es meramente a título estimativo y no forma parte de ningún tipo de documentación contractual. Las medidas y superficies definitivas surgirán del título de propiedad del inmueble referido. Asimismo, los importes de impuestos, tasas, servicios y expensas aquí indicados están sujetos a verificación por parte del potencial comprador. Parra propiedades Y desarrollos urbanos"
/propiedades/clasificado/vecltrin-terreno-mataderos-51918988.html,Timoteo Gordillo al 2200,490 m² tot.,Unico loteo en Mataderos // Lotes con Escritura inmediata¡Tenemos 12 opciones que se adaptan a tus necesidades! Salida a 2 calles. Terrenos desde 440 m² hasta 660 m²Frentes minimos de 11 mts con opcion de sumar varios lotes y poseer un gran frente. No dude en consultarnos por las diferentes opciones. Ubicado en la calle Timoteo Gordillo con salida Cañada de Gomez. Posibilidad de Financiaciona mts de Av. Directorio. La Av. General Paz se encuentra a 8 cuadras! ¡¡Excelente ubicacion! !
/propiedades/clasificado/vecltrin-terreno-con-dispo-aprobada-en-microcentro-51912972.html,Viamonte al 800,273 m² tot.,"Viamonte 8Ver datosoportunidad, Venta de 2 casas como lote para hacer 2700m2 vendibles según volumetría aprobada (sin planos aprobados). Proyecto a disposición. Las casas se encuentran en Viamonte entre Suipacha y Esmeralda a metros de 9 de Julio y de Av. Córdoba. Ideal para desarrollos de oficinas, alquiler temporario o coworking. -Viamonte 830/32 Casa de planta baja, 1 piso y un local. Frente: 4, 74 m2 Fondo: 18, 78 m2. -Viamonte 834/36/38 Casa de planta baja y 2 pisos y un local. Frente: 6, 60 m2 Fondo: 27, 73 m2no paga plusvalía -Se deja constancia que las medidas, superficies, m2 y proporciones consignadas son aproximados, al igual que las medidas parciales y/o de los ambientes esta sujeto a verificación y/o ajuste. El valor indicado de expensas esta sujeto a variación. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual. ezequiel wierzba martillero publico, C. U. C. I. C. B. A 6383. -click aparts Contáctenos: Oficina: +Ver datosCelular: +Ver datos 5 Ver datosE-mail: Ver datos: Facebook: /click. apartsInstagram: /click. aparts"
/propiedades/clasificado/vecltrin-terreno-lote-en-venta-en-coghlan-capital-federal-53749372.html,Ricardo balbin 2800,292 m² tot.,Impecable Terreno Doble Frente en Avenida Ricardo Balbin casi Avenida Congreso. Posee Plusvalia a pagar.
/propiedades/clasificado/vecltrin-espectacular-terreno-para-15.200-m-sup2--vendibles-en-53407912.html,Montes de Oca 1120,15200 m² tot.,"Lote sobre montes de oca al 1100, pasante, con salida A isabel la catolica frente 38 m2 x lateral 93 m2 - Sup lote 3. 491 m2 Sobre Montes de Oca 1120: cm - pb + 10 pisos + 2 retiros Sobre Isabel la Católica 939: usaa - pb + 7 pisos + 2 retiros Plusvalia aprox u$s Ver datos"
/propiedades/clasificado/vecltrin-terreno-en-esquina-av-san-martin-y-trelles.-planos-54268222.html,Av. San Martín  al 3000,300 m² tot.,Excelente lote en esquina. Planos aprobados para desarrollar 3. 500 m2 vendibles! Superficie: 300 m2Frente sobre Av San Martin: 24. 53 mtsFrente sobre Trelles: 22. 23 mts Local en doble altura + 12 Pisos. Posibilidad de aceptar canje en metros a desarrollar. -Martillero y Corredor Inmobiliario: Ciudad Autónoma de Buenos AiresProvincia de Buenos AiresMarcelo Nieves Piazza (Matricula cucicba N° 1364 / cmcpsi N° 5348) Todas las propiedades son tasadas y bajo normas establecidas en la ley publicamos las propiedades para su comercialización. La intermediación y la conclusión de las operaciones son actividades exclusivas del matriculado.
/propiedades/clasificado/vecltrin-lideres-en-terrenos-guimat-propiedades-lote-en-53563149.html,Juan B Justo al 4300,213 m² tot.,"Excelente Lote en Venta Superficie Total 213. 16m2. Frente 9. 02m, Contrafrente 14. 36m, Lateral derecho 19. 83m, Lateral Izquierdo 17. 17m. codigo nuevo: Superficie Edificable: 1940. 40m2Superficie Vendible: 1850. 25m2 (1590. 90m2 Cubiertos + 259. 35m2 Descubiertos) Zonificación: usaaaltura: 22. 80mAncho de calle: 30mPisos: pb + 7 pisos + 2 retirosmixtura de usos: mixtura 4aph: sin datoslfi: No Alcanzadalib: No Alcanzadaplusvalia: Ver datos Uva&#39;s (sup edif. X 80% - m2 fot) codigo anterior: Zonificación: R2biiifot: 1. 2Sup Vendible: 255. 79m2**Corredor Inmobiliario Responsable Adrian Ridelnik cucicba Mat 197. *Se deja constancia que las medidas y superficies indicados son aproximados y al sólo efecto orientativo. Las medidas reales surgirán del título de propiedad respectivo. Las medidas parciales y/o de los ambientes y el valor consignado de expensas mensuales, servicios y abl está sujeto a verificación y/o ajuste. Art. 4 de la Ley 5. 859 de C. A. B. A &quot;Para los casos de alquiler de vivienda única, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4, 15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias cuando el destino sea vivienda única y permanente &quot;. -"
/propiedades/clasificado/vecltrin-venta-de-lote-en-monserrat-en-l-de-635-85-m-con-46697499.html,Moreno 1577. Entre Virrey cevallos y Luis saenz peña,635 m² tot.,"Venta de Lote en Monserrat, Capital Federal. Lote en ¨L¨ de 635, 85 mts con salida a 2 calles. Entrada principal por calle Moreno Nº 1. 577, con un lote de 438. 60mts mas otro lote anexado de 197. 25 con entrada por calle Virrey Cevallos Nº 270. - - posible toma de mts ya construidos en parte de pago -- - - - - ideal emprendimiento de unidades funcionales - - - - -xintel(pas-pas-2278)"
/propiedades/clasificado/vecltrin-terreno-en-venta-nicasio-orono-y-magarinos-cervantes-53230492.html,Orono Nicasio al 1800,879 m² tot.,"Oroño esq. Cervantes terreno de 879 M2 con 2580 m2 construidos en pb y 2 Pisos de 110 cocheras, a 1 cuadra de Av. San Martín y J. B. Justo, apto 5509 M2 vendibles en pb + 5 pisos + 2 Retiros. Posibilidad de toma de M2 en pago + efectivo"
/propiedades/clasificado/vecltrin-excelente-casa-5-amb-piscina-parrilla-suite-52458965.html,Estomba al 2400,253 m² tot.,"Excelente lote - villa urquiza - 1. 250 metros cuadrados vendiblesfrente (m) : 12. 12Fondo (m) : 20. 87Superficie total del terreno (m2) : 253 unidad de sustentabilidad de altura media (usam) Altura Máxima (m) : 17. 20Planta Baja + 5 Pisos + 2 Retiros superficie vendible (m2) : 1. 030capacidad constuctiva (m2) : 1. 250Plusvalía Urbana aproximada a pagar de U$S 86. 000. - (valor variable según metros totales a solicitar para la parcela) Los valores proporionados son aproximados, calulados en base a las medidas establecidas por el nuevo Código Urbanistico (Anexo Ley N°6099) y el nuevo Código de Edificación (Anexo Ley N°6100) . Estos valores pueden variar según las decisiones tomadas al momento de diseñar el proyecto a edificar. Ubicación: Estomba al 2400 (entre Blanco Encalada y Monroe) belga inmobiliaria S. A. Mat. 5111 - cucicba - Martín Gonzalo GallegosMat. 8347 - cucicba - Lucas JoorisMat. 6528 - cmcpsi - Martín Gonzalo GallegosToda la información y medidas provistas son aproximadas, deberán ratificarse con la documentación pertinente y no compromete contractualmente a nuestra empresa. Los gastos (Expensas, abl, etc) expresados, refieren a la última información recabada y deberán confirmarse al día de la fecha. Las fotografías son no vinculantes ni contractuales."
/propiedades/clasificado/vecltrin-terreno-en-camargo-al-100-54568529.html,Camargo  al 100,500 m² tot.,"Venta Terreno Villa Crespo Camargo al Ver datos m² vendible sobre lote de 8 × 30 usaaentre Lavalleja y frías $U850. 000El mejor consejo de todos los tiempos “Hay que ser codiciosos cuando los demás son miedosos y miedosos cuando los demás son codiciosos”, o “Comprar cuando todos venden y vender cuando todos compran”. W. B. Por esta propiedad y otras Premium ingresen a (nota legal: Las medidas y datos son a titulo informativo. La venta del inmueble esta supeditada a la obtención del coti por parte del propietario. )saul mizrahi / matricula 5599"
/propiedades/clasificado/vecltrin-se-vende-hotel-familiar-terreno-lote-en-villa-52639083.html,Zelarrayan  al 4700,1049 m² tot.,"Se vende Hotel Familiar con 38 habitaciones activas, con permisos actuales del gobierno de la ciudad Cuenta con cocina en común, inquilinos activos Se vende lote de 17, 10 metros por 61, 35 metros dando un total de 1761 metros Excelente para emprendimiento inmobiliarios, deposito, galpón¡! Ubicado en una muy buena zona de Lugano con varios medios de transporte, cerca de Dellepiane y Escalada (se puede sumar un lote sobre Castañares de mismas medidas aprox, haciendo un doble lote sobre la manzana) importante - aviso legal: Los datos del emprendimiento fueron proporcionados por el desarrollador/propietario y pueden no estar actualizados o no ser definitivos. Por este motivo puede existir discrepancias con los datos que surjan de los títulos y planos legales del inmueble. Los precios indicados podrán modificarse sin previo aviso. La fechas de inicio y fin de obra o posesión son estimadas y podrán ser reprogramadas. Es exclusiva responsabilidad del interesado realizar las verificaciones respectivas previamente a la concreción de la operación, requiriendo las copias necesarias de la documentación de respaldo que corresponda."
/propiedades/clasificado/vecltrin-terreno-en-parque-patricios-destinado-a-desarrollo-o-54422217.html,Pepiri al 400,218 m² tot.,"- Gran oportunidad de inversión para constructoras o desarrolladores. - Excelente lote de 218m2 a 200mts del subte H (Estación Hospitales) ademas se encuentra a dos cuadras de Parque Patricios y otros espacios verdes como: Parque José C. Paz - Parque José Evaristo Uriburu y Plaza Nicaragua. - Cercanía con Hospital General de Agudos Penna y Hospital Churruca Visca. - Establecimientos deportivos: Polideportivo Parque Patricios - Sede Club Huracán - Club Atletico Piraña. - Gran proximidad a importantes avenidas como av. Caseros 200mts - av. Almafuerte 200mts. - Mucha oferta gastronómica en 400mts a la redonda. - Gran oportunidad de inversión para constructoras o desarrolladoras. Área edificable en planta210, 515 m²--Altura Máxima17, 2 m--Altura Máxima Plano Límite24. 2 m--Desarrollo Urbano y Hábitat Sustentable | plusvalia- Zonificación según cpu: R2b I- Superficie de Parcela: 218m2- fot: 1, 6- Incidencia Uva: 150- Alicuota 0, 18-Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del corredor público inmobiliario colegiado a cargo de la publicación. Maria Laura Colonna cpi 7667"
